iter	Quantile:alpha=0.9
0	1.684859551
1	1.57491114
2	1.484405178
3	1.403050468
4	1.337111717
5	1.281003262
6	1.216429675
7	1.171063404
8	1.128565682
9	1.091940298
10	1.05008793
11	1.011300202
12	0.9820965893
13	0.9425533984
14	0.9133964769
15	0.8826433633
16	0.8563433539
17	0.8321845537
18	0.812884158
19	0.7943129671
20	0.7762498426
21	0.763073011
22	0.7516733867
23	0.7384830368
24	0.7255459938
25	0.7198386253
26	0.71230612
27	0.7062579539
28	0.7011919889
29	0.6923413838
30	0.6848532154
31	0.6803175339
32	0.6775847617
33	0.6724922382
34	0.6670415923
35	0.6642445205
36	0.6613504936
37	0.6574242481
38	0.653911562
39	0.6519703175
40	0.6486652467
41	0.6476226761
42	0.6464477226
43	0.6456288427
44	0.6434510528
45	0.642132353
46	0.6375660489
47	0.6369463513
48	0.6363518256
49	0.6357620875
50	0.6339361859
51	0.6337940635
52	0.6299291256
53	0.6294459619
54	0.6288903334
55	0.6281930526
56	0.62444707
57	0.6233233413
58	0.6231140763
59	0.6220649086
60	0.6216730297
61	0.6214630511
62	0.6212069397
63	0.6211952093
64	0.6202954683
65	0.6201195266
66	0.6195294964
67	0.6194136753
68	0.618939907
69	0.6188795991
70	0.6186406474
71	0.6176726934
72	0.6169119916
73	0.6166433565
74	0.6164577279
75	0.6160497652
76	0.6159081739
77	0.6156272663
78	0.6153236212
79	0.6152543337
80	0.6151269462
81	0.6149735636
82	0.6148695108
83	0.6148076412
84	0.6147392384
85	0.6147383648
86	0.6146940918
87	0.6145758148
88	0.6142803088
89	0.6138658531
90	0.6136441642
91	0.6133849279
92	0.6125901251
93	0.6123782701
94	0.6123184884
95	0.6121794974
96	0.6118252538
97	0.6109437585
98	0.6109258035
99	0.6104752618
100	0.6104005466
101	0.6104002353
102	0.6103669607
103	0.6102370304
104	0.6099648744
105	0.6097380614
106	0.6092759707
107	0.6091300003
108	0.6088791372
109	0.6086160328
110	0.6083118314
111	0.6081837072
112	0.6080290569
113	0.6079912868
114	0.6079406521
115	0.6079196716
116	0.6077498348
117	0.6073386522
118	0.6072621594
119	0.6072310091
120	0.6072002856
121	0.6070739088
122	0.6070188112
123	0.6069181577
124	0.6068808631
125	0.6064218326
126	0.6064157639
127	0.6063596127
128	0.6063355907
129	0.6060260216
130	0.6060078356
131	0.6059134206
132	0.6051496902
133	0.6051202786
134	0.6051010114
135	0.6050144701
136	0.6050041855
137	0.6049762221
138	0.6047490633
139	0.6044716889
140	0.6044149115
141	0.6041185984
142	0.6040363821
143	0.6040284661
144	0.6040179615
145	0.6039698878
146	0.6039492148
147	0.6038817267
148	0.6038799533
149	0.6037256553
150	0.6033710438
151	0.603362086
152	0.6033413685
153	0.6030876386
154	0.6029999858
155	0.602994425
156	0.6029460038
157	0.6028935204
158	0.6028712168
159	0.6028354859
160	0.6025088748
161	0.6024257313
162	0.6023935603
163	0.6023906261
164	0.6023695867
165	0.6023450928
166	0.6023423996
167	0.6022741297
168	0.6022374568
169	0.6007633986
170	0.6002526614
171	0.6001436958
172	0.5996771266
173	0.5996709139
174	0.5994839564
175	0.5990139128
176	0.5989759045
177	0.5989322059
178	0.598829525
179	0.5988163986
180	0.5987185112
181	0.5986754394
182	0.5983074299
183	0.598288909
184	0.5982629318
185	0.5980669023
186	0.5979727223
187	0.5978965227
188	0.5978665387
189	0.5977672153
190	0.5976968222
191	0.5975211795
192	0.597501717
193	0.5974445564
194	0.5974163382
195	0.5973546224
196	0.5973129321
197	0.5972967916
198	0.5972727141
199	0.5972563863
