iter	Passed	Remaining
0	29	5903
1	55	5470
2	81	5319
3	101	4950
4	120	4711
5	141	4572
6	166	4577
7	181	4364
8	193	4103
9	214	4077
10	234	4022
11	252	3958
12	281	4043
13	302	4023
14	324	4006
15	342	3943
16	358	3860
17	381	3857
18	403	3842
19	423	3814
20	441	3763
21	458	3710
22	477	3674
23	501	3676
24	521	3649
25	539	3610
26	557	3570
27	577	3547
28	599	3532
29	621	3524
30	657	3586
31	675	3548
32	698	3534
33	717	3502
34	731	3446
35	746	3398
36	756	3333
37	766	3268
38	792	3270
39	807	3230
40	834	3237
41	876	3295
42	891	3256
43	912	3233
44	931	3208
45	943	3159
46	953	3104
47	974	3085
48	985	3037
49	1002	3006
50	1023	2991
51	1030	2932
52	1048	2909
53	1080	2920
54	1118	2948
55	1133	2913
56	1151	2887
57	1170	2866
58	1190	2845
59	1209	2822
60	1228	2799
61	1256	2796
62	1277	2779
63	1284	2730
64	1303	2708
65	1319	2678
66	1336	2653
67	1353	2627
68	1372	2605
69	1393	2587
70	1411	2564
71	1431	2545
72	1448	2520
73	1461	2488
74	1484	2474
75	1503	2453
76	1522	2431
77	1545	2417
78	1565	2398
79	1583	2375
80	1596	2346
81	1624	2337
82	1659	2339
83	1670	2306
84	1688	2284
85	1696	2248
86	1713	2225
87	1727	2199
88	1741	2171
89	1761	2153
90	1785	2138
91	1807	2121
92	1824	2098
93	1845	2081
94	1866	2063
95	1885	2042
96	1908	2026
97	1926	2005
98	1950	1990
99	1981	1981
100	2002	1962
101	2007	1928
102	2019	1901
103	2035	1879
104	2052	1856
105	2063	1829
106	2077	1805
107	2101	1790
108	2117	1767
109	2137	1748
110	2152	1726
111	2173	1707
112	2190	1686
113	2210	1667
114	2232	1649
115	2247	1627
116	2265	1607
117	2284	1587
118	2303	1567
119	2330	1553
120	2346	1531
121	2359	1508
122	2369	1483
123	2379	1458
124	2395	1437
125	2426	1425
126	2455	1411
127	2474	1392
128	2494	1373
129	2516	1354
130	2535	1335
131	2571	1324
132	2584	1301
133	2593	1277
134	2612	1257
135	2629	1237
136	2649	1218
137	2670	1199
138	2692	1181
139	2710	1161
140	2728	1141
141	2743	1120
142	2761	1100
143	2780	1081
144	2796	1060
145	2811	1039
146	2825	1018
147	2838	997
148	2851	975
149	2868	956
150	2885	936
151	2912	919
152	2934	901
153	2956	883
154	2976	864
155	2991	843
156	3005	823
157	3026	804
158	3045	785
159	3066	766
160	3085	747
161	3109	729
162	3125	709
163	3137	688
164	3152	668
165	3165	648
166	3173	627
167	3184	606
168	3217	590
169	3249	573
170	3268	554
171	3283	534
172	3309	516
173	3321	496
174	3341	477
175	3364	458
176	3378	438
177	3389	418
178	3404	399
179	3419	379
180	3434	360
181	3451	341
182	3468	322
183	3486	303
184	3510	284
185	3532	265
186	3550	246
187	3567	227
188	3585	208
189	3606	189
190	3626	170
191	3643	151
192	3659	132
193	3676	113
194	3688	94
195	3704	75
196	3719	56
197	3734	37
198	3751	18
199	3765	0
